"Object Designation","Year Range","Potential Impacts","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2011 AM37)","2048-2119","161","1.2e-3","3.65","29.7","0.004","-5.18","-5.30","0","bK11A37M"
"(2013 BL18)","2077-2092","7","2.1e-5","14.19","26.0","0.022","-5.18","-5.33","0","bK13B18L"
"(2020 CO2)","2048-2118","39","3.6e-5","15.78","26.7","0.016","-5.18","-5.40","0","bK20C02O"
"(2017 SA20)","2027-2122","1244","4.5e-4","5.87","28.4","0.007","-5.18","-6.36","0","bK17S20A"
"(2021 SQ)","2062-2071","5","2.5e-4","10.56","28.4","0.007","-5.19","-5.21","0","bK21S00Q"
"(2020 CD3)","2082-2118","115","2.5e-2","NaN","31.8","0.002","-5.19","-5.65","0","bK20C03D"
"(2014 JR24)","2069-2122","82","1.2e-3","3.72","29.3","0.005","-5.20","-5.24","0","bK14J24R"
"(2021 GG1)","2073-2122","66","5.0e-5","14.78","26.6","0.016","-5.20","-5.80","0","bK21G01G"
"(1999 RZ31)","2056-2056","1","1.4e-6","8.20","23.8","0.059","-5.20","-5.20","0","bJ99R31Z"
"(2007 UO6)","2031-2113","12","1.9e-5","11.68","27.4","0.011","-5.22","-5.44","0","bK07U06O"
"(2018 CM)","2054-2120","19","1.6e-4","9.50","27.8","0.009","-5.22","-5.31","0","bK18C00M"
"(2006 QN111)","2079-2079","1","1.9e-6","10.55","23.8","0.060","-5.22","-5.22","0","bK06QB1N"
"(2022 UO28)","2081-2096","25","2.3e-4","12.18","28.0","0.008","-5.22","-5.36","0","bK22U28O"
"(2021 JE1)","2064-2121","79","6.0e-5","8.17","26.7","0.016","-5.23","-5.62","0","bK21J01E"
"(2015 KG158)","2045-2122","87","3.3e-4","7.69","28.3","0.007","-5.23","-5.38","0","bK15KF8G"
"(2012 WS3)","2082-2122","55","3.5e-5","8.79","25.9","0.022","-5.24","-5.64","0","bK12W03S"
"(2010 XN69)","2039-2122","114","3.2e-5","7.30","26.3","0.019","-5.25","-6.15","0","bK10X69N"
"(2014 JU79)","2041-2121","10","3.7e-7","6.17","22.8","0.092","-5.25","-5.65","0","bK14J79U"
